id,original_text,target_style,styled_text
138,The company updated its software to fix security issues to support long term development.,formal,The company deployed a software update intended to resolve existing security vulnerabilities in support of long term development objectives.
127,The company updated its software to fix security issues.,poetic,The company mended its software like careful hands repairing a guarded gate.
102,The government announced new measures to reduce air pollution to support long term development.,formal,The government introduced additional measures intended to mitigate air pollution in support of long term development objectives.
65,The community planted trees near the river to prevent erosion to support long term development.,journalistic,Community members planted trees near the river in an effort to prevent erosion to support long term development.
141,The company updated its software to fix security issues in response to public demand.,formal,The company deployed a software update intended to resolve existing security vulnerabilities in response to documented public demand.
84,The university launched a scholarship program for low income students to support long term development.,formal,The university introduced a scholarship initiative intended to support students from low income backgrounds in support of long term development objectives.
39,The hospital added more nurses to improve patient care.,formal,The hospital increased nursing staff in order to improve the quality of patient care.
132,The company updated its software to fix security issues as part of a broader improvement effort.,formal,The company deployed a software update intended to resolve existing security vulnerabilities as part of a broader institutional improvement effort.
44,The hospital added more nurses to improve patient care after months of planning.,journalistic,Hospital administrators said additional nurses were hired to improve patient care after months of planning.
74,The university launched a scholarship program for low income students.,journalistic,The university announced a scholarship program aimed at supporting low income students.
123,The farmers adopted modern irrigation systems during the summer in response to public demand.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency in response to documented public demand.
77,The university launched a scholarship program for low income students as part of a broader improvement effort.,journalistic,The university announced a scholarship program aimed at supporting low income students as part of a broader improvement effort.
103,The government announced new measures to reduce air pollution in response to public demand.,poetic,"The city breathes beneath a quieter sky as new measures rise against the smoke, because many voices had called for change."
157,The museum added evening tours for international visitors in response to public demand.,poetic,"The museum now opens deeper into the evening so wandering visitors may gather its stories, because many voices had called for change."
146,The museum added evening tours for international visitors.,journalistic,Museum officials announced new evening tours for international visitors.
4,The city introduced new bike lanes to reduce traffic congestion as part of a broader improvement effort.,poetic,"Through the restless streets new bike lanes bloom and traffic loosens its weary grip, while a wider promise quietly unfolds."
142,The company updated its software to fix security issues with support from local partners.,poetic,"The company mended its software like careful hands repairing a guarded gate, with many steady hands beside it."
6,The city introduced new bike lanes to reduce traffic congestion as part of a broader improvement effort.,formal,The municipality implemented additional cycling lanes with the objective of mitigating traffic congestion as part of a broader institutional improvement effort.
125,The farmers adopted modern irrigation systems during the summer with support from local partners.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management with support from local partners.
33,The school opened a new science laboratory for its students in response to public demand.,formal,The institution established a new science laboratory to enhance the educational experience of its students in response to documented public demand.
80,The university launched a scholarship program for low income students after months of planning.,journalistic,The university announced a scholarship program aimed at supporting low income students after months of planning.
91,The government announced new measures to reduce air pollution.,poetic,The city breathes beneath a quieter sky as new measures rise against the smoke.
113,The farmers adopted modern irrigation systems during the summer as part of a broader improvement effort.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management as part of a broader improvement effort.
158,The museum added evening tours for international visitors in response to public demand.,journalistic,Museum officials announced new evening tours for international visitors in response to public demand.
55,The community planted trees near the river to prevent erosion.,poetic,Along the riverbank the community planted young trees to hold the earth in place.
177,The local market extended its hours during the holiday season in response to public demand.,formal,The market extended its operating schedule during the holiday period to accommodate consumer demand in response to documented public demand.
134,The company updated its software to fix security issues after months of planning.,journalistic,The company released a software update designed to address security issues after months of planning.
129,The company updated its software to fix security issues.,formal,The company deployed a software update intended to resolve existing security vulnerabilities.
34,The school opened a new science laboratory for its students with support from local partners.,poetic,"A bright new laboratory opened its doors where curious young minds may wander, with many steady hands beside it."
19,The school opened a new science laboratory for its students.,poetic,A bright new laboratory opened its doors where curious young minds may wander.
116,The farmers adopted modern irrigation systems during the summer after months of planning.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management after months of planning.
159,The museum added evening tours for international visitors in response to public demand.,formal,The museum introduced evening tours in order to improve accessibility for international visitors in response to documented public demand.
64,The community planted trees near the river to prevent erosion to support long term development.,poetic,"Along the riverbank the community planted young trees to hold the earth in place, to nourish what may endure."
79,The university launched a scholarship program for low income students after months of planning.,poetic,"The university raised a new bridge of scholarships for students of modest means, after long months of patient design."
104,The government announced new measures to reduce air pollution in response to public demand.,journalistic,The government announced a new set of measures aimed at reducing air pollution in response to public demand.
73,The university launched a scholarship program for low income students.,poetic,The university raised a new bridge of scholarships for students of modest means.
28,The school opened a new science laboratory for its students to support long term development.,poetic,"A bright new laboratory opened its doors where curious young minds may wander, to nourish what may endure."
168,The local market extended its hours during the holiday season as part of a broader improvement effort.,formal,The market extended its operating schedule during the holiday period to accommodate consumer demand as part of a broader institutional improvement effort.
131,The company updated its software to fix security issues as part of a broader improvement effort.,journalistic,The company released a software update designed to address security issues as part of a broader improvement effort.
52,The hospital added more nurses to improve patient care with support from local partners.,poetic,"More caring hands now move through the hospital halls to lift the comfort of each patient, with many steady hands beside it."
154,The museum added evening tours for international visitors to support long term development.,poetic,"The museum now opens deeper into the evening so wandering visitors may gather its stories, to nourish what may endure."
5,The city introduced new bike lanes to reduce traffic congestion as part of a broader improvement effort.,journalistic,City officials announced the introduction of new bike lanes to help ease traffic congestion as part of a broader improvement effort.
121,The farmers adopted modern irrigation systems during the summer in response to public demand.,poetic,"Under the summer sun the farmers welcomed new streams of order through their fields, because many voices had called for change."
167,The local market extended its hours during the holiday season as part of a broader improvement effort.,journalistic,The local market reported longer operating hours for the holiday season as part of a broader improvement effort.
42,The hospital added more nurses to improve patient care as part of a broader improvement effort.,formal,The hospital increased nursing staff in order to improve the quality of patient care as part of a broader institutional improvement effort.
105,The government announced new measures to reduce air pollution in response to public demand.,formal,The government introduced additional measures intended to mitigate air pollution in response to documented public demand.
179,The local market extended its hours during the holiday season with support from local partners.,journalistic,The local market reported longer operating hours for the holiday season with support from local partners.
148,The museum added evening tours for international visitors as part of a broader improvement effort.,poetic,"The museum now opens deeper into the evening so wandering visitors may gather its stories, while a wider promise quietly unfolds."
139,The company updated its software to fix security issues in response to public demand.,poetic,"The company mended its software like careful hands repairing a guarded gate, because many voices had called for change."
101,The government announced new measures to reduce air pollution to support long term development.,journalistic,The government announced a new set of measures aimed at reducing air pollution to support long term development.
114,The farmers adopted modern irrigation systems during the summer as part of a broader improvement effort.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency as part of a broader institutional improvement effort.
136,The company updated its software to fix security issues to support long term development.,poetic,"The company mended its software like careful hands repairing a guarded gate, to nourish what may endure."
180,The local market extended its hours during the holiday season with support from local partners.,formal,The market extended its operating schedule during the holiday period to accommodate consumer demand with support from relevant local partners.
112,The farmers adopted modern irrigation systems during the summer as part of a broader improvement effort.,poetic,"Under the summer sun the farmers welcomed new streams of order through their fields, while a wider promise quietly unfolds."
135,The company updated its software to fix security issues after months of planning.,formal,The company deployed a software update intended to resolve existing security vulnerabilities following an extended planning period.
94,The government announced new measures to reduce air pollution as part of a broader improvement effort.,poetic,"The city breathes beneath a quieter sky as new measures rise against the smoke, while a wider promise quietly unfolds."
69,The community planted trees near the river to prevent erosion in response to public demand.,formal,The community undertook a tree planting initiative near the river to reduce soil erosion in response to documented public demand.
22,The school opened a new science laboratory for its students as part of a broader improvement effort.,poetic,"A bright new laboratory opened its doors where curious young minds may wander, while a wider promise quietly unfolds."
162,The museum added evening tours for international visitors with support from local partners.,formal,The museum introduced evening tours in order to improve accessibility for international visitors with support from relevant local partners.
78,The university launched a scholarship program for low income students as part of a broader improvement effort.,formal,The university introduced a scholarship initiative intended to support students from low income backgrounds as part of a broader institutional improvement effort.
10,The city introduced new bike lanes to reduce traffic congestion to support long term development.,poetic,"Through the restless streets new bike lanes bloom and traffic loosens its weary grip, to nourish what may endure."
83,The university launched a scholarship program for low income students to support long term development.,journalistic,The university announced a scholarship program aimed at supporting low income students to support long term development.
149,The museum added evening tours for international visitors as part of a broader improvement effort.,journalistic,Museum officials announced new evening tours for international visitors as part of a broader improvement effort.
90,The university launched a scholarship program for low income students with support from local partners.,formal,The university introduced a scholarship initiative intended to support students from low income backgrounds with support from relevant local partners.
35,The school opened a new science laboratory for its students with support from local partners.,journalistic,The school has opened a new science laboratory intended to expand hands on learning for students with support from local partners.
86,The university launched a scholarship program for low income students in response to public demand.,journalistic,The university announced a scholarship program aimed at supporting low income students in response to public demand.
160,The museum added evening tours for international visitors with support from local partners.,poetic,"The museum now opens deeper into the evening so wandering visitors may gather its stories, with many steady hands beside it."
46,The hospital added more nurses to improve patient care to support long term development.,poetic,"More caring hands now move through the hospital halls to lift the comfort of each patient, to nourish what may endure."
48,The hospital added more nurses to improve patient care to support long term development.,formal,The hospital increased nursing staff in order to improve the quality of patient care in support of long term development objectives.
133,The company updated its software to fix security issues after months of planning.,poetic,"The company mended its software like careful hands repairing a guarded gate, after long months of patient design."
47,The hospital added more nurses to improve patient care to support long term development.,journalistic,Hospital administrators said additional nurses were hired to improve patient care to support long term development.
107,The government announced new measures to reduce air pollution with support from local partners.,journalistic,The government announced a new set of measures aimed at reducing air pollution with support from local partners.
82,The university launched a scholarship program for low income students to support long term development.,poetic,"The university raised a new bridge of scholarships for students of modest means, to nourish what may endure."
59,The community planted trees near the river to prevent erosion as part of a broader improvement effort.,journalistic,Community members planted trees near the river in an effort to prevent erosion as part of a broader improvement effort.
174,The local market extended its hours during the holiday season to support long term development.,formal,The market extended its operating schedule during the holiday period to accommodate consumer demand in support of long term development objectives.
49,The hospital added more nurses to improve patient care in response to public demand.,poetic,"More caring hands now move through the hospital halls to lift the comfort of each patient, because many voices had called for change."
13,The city introduced new bike lanes to reduce traffic congestion in response to public demand.,poetic,"Through the restless streets new bike lanes bloom and traffic loosens its weary grip, because many voices had called for change."
111,The farmers adopted modern irrigation systems during the summer.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency.
126,The farmers adopted modern irrigation systems during the summer with support from local partners.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency with support from relevant local partners.
110,The farmers adopted modern irrigation systems during the summer.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management.
11,The city introduced new bike lanes to reduce traffic congestion to support long term development.,journalistic,City officials announced the introduction of new bike lanes to help ease traffic congestion to support long term development.
38,The hospital added more nurses to improve patient care.,journalistic,Hospital administrators said additional nurses were hired to improve patient care.
99,The government announced new measures to reduce air pollution after months of planning.,formal,The government introduced additional measures intended to mitigate air pollution following an extended planning period.
